line_id,line_name,station_id,station_name
bakerloo,Bakerloo,940GZZLUBST,Baker Street Underground Station
bakerloo,Bakerloo,940GZZLUCHX,Charing Cross Underground Station
bakerloo,Bakerloo,940GZZLUEAC,Elephant & Castle Underground Station
bakerloo,Bakerloo,940GZZLUEMB,Embankment Underground Station
bakerloo,Bakerloo,940GZZLUERB,Edgware Road (Bakerloo) Underground Station
bakerloo,Bakerloo,940GZZLUHAW,Harrow & Wealdstone Underground Station
bakerloo,Bakerloo,940GZZLUHSN,Harlesden Underground Station
bakerloo,Bakerloo,940GZZLUKEN,Kenton Underground Station
bakerloo,Bakerloo,940GZZLUKPK,Kilburn Park Underground Station
bakerloo,Bakerloo,940GZZLUKSL,Kensal Green Underground Station
bakerloo,Bakerloo,940GZZLULBN,Lambeth North Underground Station
bakerloo,Bakerloo,940GZZLUMVL,Maida Vale Underground Station
bakerloo,Bakerloo,940GZZLUMYB,Marylebone Underground Station
bakerloo,Bakerloo,940GZZLUNWY,North Wembley Underground Station
bakerloo,Bakerloo,940GZZLUOXC,Oxford Circus Underground Station
bakerloo,Bakerloo,940GZZLUPAC,Paddington Underground Station
bakerloo,Bakerloo,940GZZLUPCC,Piccadilly Circus Underground Station
bakerloo,Bakerloo,940GZZLUQPS,Queen's Park Underground Station
bakerloo,Bakerloo,940GZZLURGP,Regent's Park Underground Station
bakerloo,Bakerloo,940GZZLUSGP,Stonebridge Park Underground Station
bakerloo,Bakerloo,940GZZLUSKT,South Kenton Underground Station
bakerloo,Bakerloo,940GZZLUWJN,Willesden Junction Underground Station
bakerloo,Bakerloo,940GZZLUWKA,Warwick Avenue Underground Station
bakerloo,Bakerloo,940GZZLUWLO,Waterloo Underground Station
bakerloo,Bakerloo,940GZZLUWYC,Wembley Central Underground Station
central,Central,940GZZLUBKE,Barkingside Underground Station
central,Central,940GZZLUBKH,Buckhurst Hill Underground Station
central,Central,940GZZLUBLG,Bethnal Green Underground Station
central,Central,940GZZLUBND,Bond Street Underground Station
central,Central,940GZZLUBNK,Bank Underground Station
central,Central,940GZZLUCHL,Chancery Lane Underground Station
central,Central,940GZZLUCWL,Chigwell Underground Station
central,Central,940GZZLUDBN,Debden Underground Station
central,Central,940GZZLUEAN,East Acton Underground Station
central,Central,940GZZLUEBY,Ealing Broadway Underground Station
central,Central,940GZZLUEPG,Epping Underground Station
central,Central,940GZZLUFLP,Fairlop Underground Station
central,Central,940GZZLUGFD,Greenford Underground Station
central,Central,940GZZLUGGH,Grange Hill Underground Station
central,Central,940GZZLUGTH,Gants Hill Underground Station
central,Central,940GZZLUHBN,Holborn Underground Station
central,Central,940GZZLUHGR,Hanger Lane Underground Station
central,Central,940GZZLUHLT,Hainault Underground Station
central,Central,940GZZLUHPK,Holland Park Underground Station
