station,year,entries_exits,n_lines_2025,which_lines_2025
Acton Town,2017,41775.0,,
Aldgate,2017,48900.0,,
Aldgate East,2017,98127.0,,
Alperton,2017,21037.0,,
Amersham,2017,13899.0,,
Angel,2017,131572.0,,
Archway,2017,63256.0,,
Arnos Grove,2017,32874.0,,
Arsenal,2017,20521.0,,
Baker Street,2017,192032.0,,
Balham,2017,99270.0,,
Bank & Monument,2017,317009.0,,
Barbican,2017,66810.0,,
Barking,2017,123702.0,,
Barkingside,2017,10092.0,,
Barons Court,2017,46112.0,,
Bayswater,2017,37899.0,,
Becontree,2017,24174.0,,
Belsize Park,2017,41117.0,,
Bermondsey,2017,76087.0,,
Bethnal Green,2017,116556.0,,
Blackfriars,2017,84358.0,,
Blackhorse Road,2017,62101.0,,
Bond Street,2017,269609.0,,
Borough,2017,38985.0,,
Boston Manor,2017,15247.0,,
Bounds Green,2017,45280.0,,
Bow Road,2017,39616.0,,
Brent Cross,2017,17532.0,,
Brixton,2017,237931.0,,
Bromley-by-Bow,2017,24146.0,,
Buckhurst Hill,2017,14658.0,,
Burnt Oak,2017,29925.0,,
Caledonian Road,2017,39703.0,,
Camden Town,2017,186247.0,,
Canada Water,2017,116538.0,,
Canary Wharf,2017,301357.0,,
Canning Town,2017,96082.0,,
Cannon Street,2017,47927.0,,
Canons Park,2017,21085.0,,
Chalfont & Latimer,2017,9469.0,,
Chalk Farm,2017,45833.0,,
Chancery Lane,2017,88233.0,,
Charing Cross,2017,137707.0,,
Chesham,2017,6927.0,,
Chigwell,2017,2791.0,,
Chiswick Park,2017,14352.0,,
Chorleywood,2017,4325.0,,
Clapham Common,2017,77295.0,,
Clapham North,2017,50592.0,,
Clapham South,2017,60012.0,,
Cockfosters,2017,14853.0,,
Colindale,2017,48200.0,,
Colliers Wood,2017,47519.0,,
Covent Garden,2017,149534.0,,
Croxley,2017,6573.0,,
Dagenham East,2017,19708.0,,
Dagenham Heathway,2017,40373.0,,
Debden,2017,14512.0,,
Dollis Hill,2017,30062.0,,
Ealing Broadway,2017,114762.0,,
Ealing Common,2017,22022.0,,
Earl's Court,2017,145925.0,,
East Acton,2017,27557.0,,
East Finchley,2017,47824.0,,
East Ham,2017,102547.0,,
East Putney,2017,41261.0,,
Eastcote,2017,18836.0,,
Edgware,2017,35845.0,,
Edgware Road (Bak),2017,30758.0,,
Edgware Road (Cir),2017,45886.0,,
Elephant & Castle,2017,149019.0,,
Elm Park,2017,20530.0,,
Embankment,2017,156070.0,,
Epping,2017,26713.0,,
Euston,2017,316418.0,,
Euston Square,2017,79611.0,,
Fairlop,2017,8328.0,,
Farringdon,2017,100194.0,,
Finchley Central,2017,45727.0,,
Finchley Road,2017,66152.0,,
Finsbury Park,2017,217599.0,,
Fulham Broadway,2017,66122.0,,
Gants Hill,2017,45805.0,,
Gloucester Road,2017,99260.0,,
Golders Green,2017,58191.0,,
Goldhawk Road,2017,14336.0,,
Goodge Street,2017,44771.0,,
Grange Hill,2017,3917.0,,
Great Portland Street,2017,44415.0,,
Green Park,2017,259351.0,,
Greenford,2017,30864.0,,
Gunnersbury,2017,32587.0,,
Hainault,2017,24661.0,,
Hammersmith (Dis),2017,198353.0,,
Hammersmith (H&C),2017,70552.0,,
Hampstead,2017,35862.0,,
Hanger Lane,2017,25333.0,,
Harlesden,2017,20496.0,,
Harrow & Wealdstone,2017,30965.0,,
Harrow-on-the-Hill,2017,73541.0,,
Hatton Cross,2017,23137.0,,
Heathrow Terminal 4,2017,19431.0,,
Heathrow Terminal 5,2017,37595.0,,
Heathrow Terminals 123,2017,66120.0,,
Hendon Central,2017,50471.0,,
High Barnet,2017,26702.0,,
High Street Kensington,2017,87695.0,,
Highbury & Islington,2017,142080.0,,
Highgate,2017,39206.0,,
Hillingdon,2017,11854.0,,
Holborn,2017,203828.0,,
Holland Park,2017,24569.0,,
Holloway Road,2017,46670.0,,
Hornchurch,2017,14099.0,,
Hounslow Central,2017,26779.0,,
Hounslow East,2017,29289.0,,
Hounslow West,2017,25811.0,,
Hyde Park Corner,2017,43683.0,,
Ickenham,2017,7461.0,,
Kennington,2017,39838.0,,
Kensal Green,2017,18511.0,,
Kensington (Olympia),2017,25001.0,,
Kentish Town,2017,55446.0,,
Kenton,2017,13690.0,,
Kew Gardens,2017,32093.0,,
Kilburn,2017,62384.0,,
Kilburn Park,2017,24860.0,,
King's Cross St. Pancras,2017,713538.0,,
Kingsbury,2017,35474.0,,
Knightsbridge,2017,137409.0,,
Ladbroke Grove,2017,42994.0,,
Lambeth North,2017,27052.0,,
Lancaster Gate,2017,46196.0,,
Latimer Road,2017,15268.0,,
Leicester Square,2017,319318.0,,
Leyton,2017,98491.0,,
Leytonstone,2017,76707.0,,
Liverpool Street,2017,425010.0,,
London Bridge,2017,463125.0,,
Loughton,2017,23333.0,,
Maida Vale,2017,22695.0,,
Manor House,2017,63869.0,,
Mansion House,2017,32546.0,,
Marble Arch,2017,102500.0,,
Marylebone,2017,95543.0,,
Mile End,2017,110525.0,,
Mill Hill East,2017,8813.0,,
Moor Park,2017,5278.0,,
Moorgate,2017,123424.0,,
Morden,2017,71695.0,,
Mornington Crescent,2017,37273.0,,
Neasden,2017,26576.0,,
Newbury Park,2017,37645.0,,
North Acton,2017,43484.0,,
North Ealing,2017,5569.0,,
North Greenwich,2017,212849.0,,
North Harrow,2017,11761.0,,
North Wembley,2017,12063.0,,
Northfields,2017,27085.0,,
Northolt,2017,34943.0,,
Northwick Park,2017,27399.0,,
Northwood,2017,18341.0,,
Northwood Hills,2017,12564.0,,
Notting Hill Gate,2017,127916.0,,
Oakwood,2017,21110.0,,
Old Street,2017,177596.0,,
Osterley,2017,15156.0,,
Oval,2017,50363.0,,
Oxford Circus,2017,603421.0,,
Paddington,2017,328915.0,,
Park Royal,2017,13565.0,,
Parsons Green,2017,42549.0,,
Perivale,2017,16365.0,,
Piccadilly Circus,2017,325396.0,,
Pimlico,2017,72490.0,,
Pinner,2017,20888.0,,
Plaistow,2017,41735.0,,
Preston Road,2017,23775.0,,
Putney Bridge,2017,37300.0,,
Queen's Park,2017,38525.0,,
Queensbury,2017,30857.0,,
Queensway,2017,68052.0,,
Ravenscourt Park,2017,20732.0,,
Rayners Lane,2017,28339.0,,
Redbridge,2017,20700.0,,
Regent's Park,2017,22947.0,,
Richmond,2017,65230.0,,
Rickmansworth,2017,15623.0,,
Roding Valley,2017,1944.0,,
Royal Oak,2017,17515.0,,
Ruislip,2017,13231.0,,
Ruislip Gardens,2017,7245.0,,
Ruislip Manor,2017,12859.0,,
Russell Square,2017,79910.0,,
Seven Sisters,2017,135260.0,,
Shepherd's Bush (Cen),2017,168073.0,,
Shepherd's Bush (H&C),2017,27262.0,,
Sloane Square,2017,115643.0,,
Snaresbrook,2017,18496.0,,
South Ealing,2017,25488.0,,
South Harrow,2017,14926.0,,
South Kensington,2017,254953.0,,
South Kenton,2017,7691.0,,
South Ruislip,2017,13252.0,,
South Wimbledon,2017,33213.0,,
South Woodford,2017,34657.0,,
Southfields,2017,40764.0,,
Southgate,2017,38256.0,,
Southwark,2017,98764.0,,
St. James's Park,2017,77839.0,,
St. John's Wood,2017,52660.0,,
St. Paul's,2017,102632.0,,
Stamford Brook,2017,17897.0,,
Stanmore,2017,27004.0,,
Stepney Green,2017,42257.0,,
Stockwell,2017,84077.0,,
Stonebridge Park,2017,16549.0,,
Stratford,2017,480210.0,,
Sudbury Hill,2017,12521.0,,
Sudbury Town,2017,11898.0,,
Swiss Cottage,2017,52573.0,,
Temple,2017,48901.0,,
Theydon Bois,2017,6636.0,,
Tooting Bec,2017,55817.0,,
Tooting Broadway,2017,113937.0,,
Tottenham Court Road,2017,298934.0,,
Tottenham Hale,2017,74820.0,,
Totteridge & Whetstone,2017,16205.0,,
Tower Hill,2017,154644.0,,
Tufnell Park,2017,29402.0,,
Turnham Green,2017,41739.0,,
Turnpike Lane,2017,78542.0,,
Upminster,2017,34352.0,,
Upminster Bridge,2017,6186.0,,
Upney,2017,17393.0,,
Upton Park,2017,67380.0,,
Uxbridge,2017,54114.0,,
Vauxhall,2017,209481.0,,
Victoria,2017,564732.0,,
Walthamstow Central,2017,68820.0,,
Wanstead,2017,20236.0,,
Warren Street,2017,114726.0,,
Warwick Avenue,2017,29824.0,,
Waterloo,2017,591545.0,,
Watford,2017,11573.0,,
Wembley Central,2017,42612.0,,
Wembley Park,2017,121611.0,,
West Acton,2017,12058.0,,
West Brompton,2017,34804.0,,
West Finchley,2017,10531.0,,
West Ham,2017,31882.0,,
West Hampstead,2017,78984.0,,
West Harrow,2017,10248.0,,
West Kensington,2017,35930.0,,
West Ruislip,2017,11647.0,,
Westbourne Park,2017,27704.0,,
Westminster,2017,187249.0,,
White City,2017,52893.0,,
Whitechapel,2017,88263.0,,
Willesden Green,2017,63113.0,,
Willesden Junction,2017,30923.0,,
Wimbledon,2017,91623.0,,
Wimbledon Park,2017,14972.0,,
Wood Green,2017,94034.0,,
Wood Lane,2017,26444.0,,
Woodford,2017,40499.0,,
Woodside Park,2017,23370.0,,
,2017,0.0,,
Total,2017,20154039.0,,
Acton Town                         ,2016,43641.0,,
Barbican                           ,2016,66038.0,,
Aldgate                            ,2016,44994.0,,
Aldgate East                       ,2016,94296.0,,
Alperton                           ,2016,21735.0,,
Amersham                           ,2016,14035.0,,
Angel                              ,2016,141051.0,,
Archway                            ,2016,67521.0,,
Arnos Grove                        ,2016,33929.0,,
Arsenal                            ,2016,22230.0,,
Baker Street                       ,2016,200536.0,,
Balham                             ,2016,100806.0,,
Bond Street                        ,2016,281905.0,,
Barking                            ,2016,109335.0,,
Barkingside                        ,2016,10206.0,,
Barons Court                       ,2016,46557.0,,
Bayswater                          ,2016,38574.0,,
Becontree                          ,2016,23664.0,,
Belsize Park                       ,2016,42376.0,,
Bethnal Green                      ,2016,123239.0,,
Blackfriars                        ,2016,87935.0,,
Blackhorse Road                    ,2016,59395.0,,
Bank & Monument                    ,2016,334727.0,,
Borough                            ,2016,38877.0,,
Boston Manor                       ,2016,15520.0,,
Bounds Green                       ,2016,46999.0,,
Bow Road                           ,2016,38252.0,,
Brent Cross                        ,2016,17363.0,,
Bromley-by-Bow                     ,2016,24519.0,,
Buckhurst Hill                     ,2016,14059.0,,
Burnt Oak                          ,2016,29873.0,,
Caledonian Road                    ,2016,39692.0,,
Camden Town                        ,2016,193856.0,,
Cannon Street                      ,2016,46920.0,,
Canons Park                        ,2016,19549.0,,
Chalfont & Latimer                 ,2016,8418.0,,
Chalk Farm                         ,2016,43813.0,,
Chancery Lane                      ,2016,92280.0,,
Embankment                         ,2016,188277.0,,
Chesham                            ,2016,6421.0,,
Chigwell                           ,2016,2933.0,,
Chiswick Park                      ,2016,14539.0,,
Chorleywood                        ,2016,6257.0,,
Clapham Common                     ,2016,74943.0,,
Clapham North                      ,2016,51643.0,,
Clapham South                      ,2016,60928.0,,
Cockfosters                        ,2016,16130.0,,
Colindale                          ,2016,41967.0,,
Colliers Wood                      ,2016,47756.0,,
Covent Garden                      ,2016,149920.0,,
Croxley                            ,2016,6162.0,,
Dagenham East                      ,2016,19716.0,,
Dagenham Heathway                  ,2016,40326.0,,
Debden                             ,2016,14425.0,,
Dollis Hill                        ,2016,29347.0,,
Ealing Broadway                    ,2016,128260.0,,
Ealing Common                      ,2016,21005.0,,
Earl's Court                       ,2016,148519.0,,
East Acton                         ,2016,28185.0,,
Eastcote                           ,2016,18475.0,,
East Finchley                      ,2016,49857.0,,
East Ham                           ,2016,102628.0,,
East Putney                        ,2016,42814.0,,
Edgware                            ,2016,34899.0,,
Edgware Road (Cir)                 ,2016,44747.0,,
Elephant & Castle                  ,2016,157967.0,,
Elm Park                           ,2016,19465.0,,
Epping                             ,2016,25501.0,,
Euston                             ,2016,324710.0,,
Euston Square                      ,2016,79973.0,,
Fairlop                            ,2016,8112.0,,
Farringdon                         ,2016,77816.0,,
Finchley Central                   ,2016,44312.0,,
Finchley Road                      ,2016,69408.0,,
Finsbury Park                      ,2016,235485.0,,
Fulham Broadway                    ,2016,68607.0,,
Gants Hill                         ,2016,50677.0,,
Gloucester Road                    ,2016,101034.0,,
Golders Green                      ,2016,58836.0,,
Goldhawk Road                      ,2016,14149.0,,
Goodge Street                      ,2016,49930.0,,
Grange Hill                        ,2016,3826.0,,
Great Portland Street              ,2016,46491.0,,
Greenford                          ,2016,32627.0,,
Green Park                         ,2016,287778.0,,
Gunnersbury                        ,2016,33222.0,,
Hainault                           ,2016,24768.0,,
Hammersmith (Dis)                  ,2016,196495.0,,
Hampstead                          ,2016,34428.0,,
Hanger Lane                        ,2016,26938.0,,
Harlesden                          ,2016,19499.0,,
Harrow & Wealdstone                ,2016,31938.0,,
Harrow-on-the-Hill                 ,2016,72616.0,,
Wood Lane                          ,2016,25792.0,,
Hendon Central                     ,2016,51861.0,,
High Barnet                        ,2016,22749.0,,
Highbury & Islington               ,2016,145187.0,,
Highgate                           ,2016,38751.0,,
High Street Kensington             ,2016,91632.0,,
Hillingdon                         ,2016,11549.0,,
Holborn                            ,2016,218967.0,,
Holland Park                       ,2016,22844.0,,
Holloway Road                      ,2016,46036.0,,
Hornchurch                         ,2016,13521.0,,
Hounslow Central                   ,2016,26056.0,,
Hounslow East                      ,2016,27585.0,,
Hounslow West                      ,2016,26059.0,,
Hyde Park Corner                   ,2016,51800.0,,
Ickenham                           ,2016,7399.0,,
Kennington                         ,2016,39901.0,,
Kensal Green                       ,2016,19390.0,,
Kensington (Olympia)               ,2016,25532.0,,
Southwark                          ,2016,104987.0,,
Kenton                             ,2016,13702.0,,
Kew Gardens                        ,2016,32796.0,,
Kilburn                            ,2016,61564.0,,
Kilburn Park                       ,2016,25241.0,,
Kingsbury                          ,2016,34355.0,,
King's Cross St. Pancras           ,2016,700699.0,,
Knightsbridge                      ,2016,156369.0,,
Ladbroke Grove                     ,2016,43505.0,,
Lambeth North                      ,2016,0.0,,
Lancaster Gate                     ,2016,51415.0,,
Latimer Road                       ,2016,16357.0,,
Leicester Square                   ,2016,333129.0,,
Leyton                             ,2016,104839.0,,
Leytonstone                        ,2016,79110.0,,
Liverpool Street                   ,2016,484188.0,,
Waterloo                           ,2016,636862.0,,
Loughton                           ,2016,22438.0,,
Maida Vale                         ,2016,23793.0,,
Manor House                        ,2016,66590.0,,
Mansion House                      ,2016,31099.0,,
Marble Arch                        ,2016,107374.0,,
Marylebone                         ,2016,88100.0,,
Mile End                           ,2016,111038.0,,
Mill Hill East                     ,2016,8628.0,,
Moorgate                           ,2016,127482.0,,
Moor Park                          ,2016,5197.0,,
Morden                             ,2016,68798.0,,
Mornington Crescent                ,2016,38915.0,,
Neasden                            ,2016,25587.0,,
Newbury Park                       ,2016,39306.0,,
North Acton                        ,2016,42662.0,,
North Ealing                       ,2016,5884.0,,
Northfields                        ,2016,26784.0,,
North Harrow                       ,2016,12158.0,,
Northolt                           ,2016,35124.0,,
North Wembley                      ,2016,12260.0,,
Northwick Park                     ,2016,28349.0,,
Northwood                          ,2016,15451.0,,
Northwood Hills                    ,2016,12084.0,,
Notting Hill Gate                  ,2016,139409.0,,
Oakwood                            ,2016,21248.0,,
Old Street                         ,2016,175581.0,,
Osterley                           ,2016,15813.0,,
Oval                               ,2016,43819.0,,
Kentish Town                       ,2016,56460.0,,
Paddington                         ,2016,337947.0,,
Park Royal                         ,2016,12696.0,,
Parsons Green                      ,2016,43132.0,,
Perivale                           ,2016,16420.0,,
Piccadilly Circus                  ,2016,343662.0,,
Pinner                             ,2016,19630.0,,
Plaistow                           ,2016,35307.0,,
Preston Road                       ,2016,22295.0,,
Putney Bridge                      ,2016,37322.0,,
Queensbury                         ,2016,31083.0,,
Queen's Park                       ,2016,38839.0,,
Queensway                          ,2016,70865.0,,
Ravenscourt Park                   ,2016,20566.0,,
Rayners Lane                       ,2016,28627.0,,
Redbridge                          ,2016,21977.0,,
Regent's Park                      ,2016,21518.0,,
Richmond                           ,2016,64342.0,,
Rickmansworth                      ,2016,14336.0,,
Roding Valley                      ,2016,1939.0,,
Royal Oak                          ,2016,16007.0,,
Ruislip                            ,2016,12941.0,,
Ruislip Gardens                    ,2016,6811.0,,
Ruislip Manor                      ,2016,12659.0,,
Russell Square                     ,2016,86788.0,,
St. James's Park                   ,2016,80247.0,,
St. John's Wood                    ,2016,53284.0,,
St. Paul's                         ,2016,114565.0,,
Seven Sisters                      ,2016,137916.0,,
Shepherd's Bush (Cen)              ,2016,177536.0,,
Sloane Square                      ,2016,117317.0,,
Snaresbrook                        ,2016,17638.0,,
South Ealing                       ,2016,25388.0,,
Southfields                        ,2016,42108.0,,
Southgate                          ,2016,38811.0,,
South Harrow                       ,2016,16674.0,,
South Kensington                   ,2016,253396.0,,
South Kenton                       ,2016,7549.0,,
South Ruislip                      ,2016,11726.0,,
South Wimbledon                    ,2016,31884.0,,
South Woodford                     ,2016,34779.0,,
Stamford Brook                     ,2016,18018.0,,
Stanmore                           ,2016,27961.0,,
Stepney Green                      ,2016,42163.0,,
Stockwell                          ,2016,81197.0,,
Stonebridge Park                   ,2016,16612.0,,
Charing Cross                      ,2016,62438.0,,
Stratford                          ,2016,533840.0,,
Sudbury Hill                       ,2016,12960.0,,
Sudbury Town                       ,2016,13607.0,,
Swiss Cottage                      ,2016,51787.0,,
Temple                             ,2016,45701.0,,
Theydon Bois                       ,2016,5930.0,,
Tooting Bec                        ,2016,54718.0,,
Tooting Broadway                   ,2016,111939.0,,
London Bridge                      ,2016,478039.0,,
Tottenham Hale                     ,2016,95240.0,,
Totteridge & Whetstone             ,2016,14159.0,,
Victoria                           ,2016,610843.0,,
Tufnell Park                       ,2016,26265.0,,
Turnham Green                      ,2016,38673.0,,
Turnpike Lane                      ,2016,79886.0,,
Upminster                          ,2016,33454.0,,
Upminster Bridge                   ,2016,6215.0,,
Upney                              ,2016,17366.0,,
Upton Park                         ,2016,70282.0,,
Uxbridge                           ,2016,54872.0,,
Tower Hill                         ,2016,160599.0,,
Walthamstow Central                ,2016,173748.0,,
Wanstead                           ,2016,20647.0,,
Warren Street                      ,2016,115906.0,,
Warwick Avenue                     ,2016,31471.0,,
Oxford Circus                      ,2016,617984.0,,
Watford                            ,2016,11372.0,,
Wembley Central                    ,2016,41498.0,,
Wembley Park                       ,2016,110085.0,,
West Acton                         ,2016,13253.0,,
Westbourne Park                    ,2016,25796.0,,
West Brompton                      ,2016,36971.0,,
West Finchley                      ,2016,10466.0,,
West Ham                           ,2016,25834.0,,
West Hampstead                     ,2016,73628.0,,
West Harrow                        ,2016,10056.0,,
West Kensington                    ,2016,35234.0,,
Westminster                        ,2016,214923.0,,
West Ruislip                       ,2016,11481.0,,
Whitechapel                        ,2016,91338.0,,
White City                         ,2016,53839.0,,
Willesden Green                    ,2016,63706.0,,
Willesden Junction                 ,2016,31395.0,,
Wimbledon                          ,2016,98777.0,,
Wimbledon Park                     ,2016,12652.0,,
Woodford                           ,2016,38688.0,,
Wood Green                         ,2016,97963.0,,
Woodside Park                      ,2016,19020.0,,
Hammersmith (H&C)                  ,2016,67758.0,,
Edgware Road (Bak)                 ,2016,33421.0,,
Shepherd's Bush (H&C)              ,2016,25858.0,,
Pimlico                            ,2016,75306.0,,
Vauxhall                           ,2016,224139.0,,
Brixton                            ,2016,244813.0,,
Hatton Cross                       ,2016,23488.0,,
Heathrow Terminals 123             ,2016,65783.0,,
Heathrow Terminal 4                ,2016,19965.0,,
Heathrow Terminal 5                ,2016,37493.0,,
Tottenham Court Road               ,2016,290861.0,,
Bermondsey                         ,2016,79238.0,,
Canada Water                       ,2016,110472.0,,
North Greenwich                    ,2016,200324.0,,
Canary Wharf                       ,2016,314172.0,,
Canning Town                       ,2016,85771.0,,
,2016,0.0,,
Total,2016,20720072.0,,
Acton Town                         ,2015,43570.0,,
Aldgate                            ,2015,41686.0,,
Aldgate East                       ,2015,89842.0,,
Alperton                           ,2015,22169.0,,
Amersham                           ,2015,13779.0,,
Angel                              ,2015,138129.0,,
Archway                            ,2015,66822.0,,
Arnos Grove                        ,2015,32764.0,,
Arsenal                            ,2015,21889.0,,
Baker Street                       ,2015,201787.0,,
Balham                             ,2015,98147.0,,
Bank & Monument                    ,2015,294017.0,,
Barbican                           ,2015,64466.0,,
Barking                            ,2015,106774.0,,
Barkingside                        ,2015,8623.0,,
Barons Court                       ,2015,47350.0,,
Bayswater                          ,2015,42669.0,,
Becontree                          ,2015,22571.0,,
Belsize Park                       ,2015,40760.0,,
Bermondsey                         ,2015,72160.0,,
Bethnal Green                      ,2015,120879.0,,
Blackfriars                        ,2015,77398.0,,
Blackhorse Road                    ,2015,58155.0,,
Bond Street                        ,2015,270106.0,,
Borough                            ,2015,36079.0,,
Boston Manor                       ,2015,15291.0,,
Bounds Green                       ,2015,46113.0,,
Bow Road                           ,2015,41964.0,,
Brent Cross                        ,2015,17988.0,,
Brixton                            ,2015,224093.0,,
Bromley-by-Bow                     ,2015,23859.0,,
Buckhurst Hill                     ,2015,13095.0,,
Burnt Oak                          ,2015,29343.0,,
Caledonian Road                    ,2015,42677.0,,
Camden Town                        ,2015,186800.0,,
Canada Water                       ,2015,97811.0,,
Canary Wharf                       ,2015,305723.0,,
Canning Town                       ,2015,79218.0,,
Cannon Street                      ,2015,38457.0,,
Canons Park                        ,2015,18470.0,,
Chalfont & Latimer                 ,2015,8147.0,,
Chalk Farm                         ,2015,45896.0,,
Chancery Lane                      ,2015,84025.0,,
Charing Cross                      ,2015,147784.0,,
Chesham                            ,2015,5348.0,,
Chigwell                           ,2015,3185.0,,
Chiswick Park                      ,2015,13732.0,,
Chorleywood                        ,2015,7013.0,,
Clapham Common                     ,2015,74108.0,,
Clapham North                      ,2015,52713.0,,
Clapham South                      ,2015,59634.0,,
Cockfosters                        ,2015,13864.0,,
Colindale                          ,2015,40074.0,,
Colliers Wood                      ,2015,46520.0,,
Covent Garden                      ,2015,125347.0,,
Croxley                            ,2015,5983.0,,
Dagenham East                      ,2015,18203.0,,
Dagenham Heathway                  ,2015,39234.0,,
Debden                             ,2015,14085.0,,
Dollis Hill                        ,2015,21437.0,,
Ealing Broadway                    ,2015,113480.0,,
Ealing Common                      ,2015,24532.0,,
Earl's Court                       ,2015,153523.0,,
East Acton                         ,2015,27424.0,,
East Finchley                      ,2015,48551.0,,
East Ham                           ,2015,104239.0,,
